date,counter,temp_high,temp_low,other
29-Dec-2017,10350,17,13,1
30-Dec-2017,10363,15,8,0
31-Dec-2017,10378,14,5,0
01-Jan-2018,10401,9,6,0
02-Jan-2018,10415,11,8,0
03-Jan-2018,10431,14,9,0
04-Jan-2018,10450,12,9,0
05-Jan-2018,10467,12,8,0
06-Jan-2018,10489,11,5,0
07-Jan-2018,10506,11,5,0
08-Jan-2018,10518,13,10,0
09-Jan-2018,10535,13,9,0
10-Jan-2018,10560,12,10,1
11-Jan-2018,10589,13,8,2
12-Jan-2018,10625,13,9,3
13-Jan-2018,10641,12,8,0
14-Jan-2018,10663,11,5,0
15-Jan-2018,10689,7,4,0
16-Jan-2018,10715,8,5,0
17-Jan-2018,10740,10,8,0
18-Jan-2018,10757,13,6,0
19-Jan-2018,10784,6,2,0
20-Jan-2018,10809,10,6,1
21-Jan-2018,10822,13,6,-1
22-Jan-2018,10850,14,7,1
23-Jan-2018,10878,11,4,0
24-Jan-2018,10893,6,3,0
25-Jan-2018,10917,5,2,0
26-Jan-2018,10949,6,3,0
27-Jan-2018,10972,6,1,0
28-Jan-2018,10999,7,4,0
29-Jan-2018,11034,8,2,1
30-Jan-2018,11060,9,5,0
31-Jan-2018,11083,11,4,0

